Date,Open*,High,Low,Close**,Volume,Market Cap
04-05-18,"9,695.50","9,779.20","9,585.96","9,700.76",8217830000.00,164956000000.00
03-05-18,"9,233.97","9,798.33","9,188.15","9,743.86",10207300000.00,157087000000.00
02-05-18,"9,104.60","9,256.52","9,015.14","9,235.92",7558160000.00,154869000000.00
01-05-18,"9,251.47","9,255.88","8,891.05","9,119.01",7713020000.00,157350000000.00
30-04-18,"9,426.11","9,477.14","9,166.81","9,240.55",8673920000.00,160302000000.00
29-04-18,"9,346.41","9,531.49","9,193.71","9,419.08",8853000000.00,158928000000.00
28-04-18,"8,939.27","9,412.09","8,931.99","9,348.48",7805480000.00,151991000000.00
27-04-18,"9,290.63","9,375.47","8,987.05","8,987.05",7566290000.00,157948000000.00
26-04-18,"8,867.32","9,281.51","8,727.09","9,281.51",8970560000.00,150736000000.00
25-04-18,"9,701.03","9,745.32","8,799.84","8,845.74",11083100000.00,164893000000.00
24-04-18,"8,934.34","9,732.61","8,927.83","9,697.50",10678800000.00,151844000000.00
23-04-18,"8,794.39","8,958.55","8,788.81","8,930.88",6925190000.00,149448000000.00
22-04-18,"8,925.06","9,001.64","8,779.61","8,802.46",6629900000.00,151651000000.00
21-04-18,"8,848.79","8,997.57","8,652.15","8,895.58",7548550000.00,150337000000.00
20-04-18,"8,286.88","8,880.23","8,244.54","8,845.83",8438110000.00,140777000000.00
19-04-18,"8,159.27","8,298.69","8,138.78","8,294.31",7063210000.00,138591000000.00
18-04-18,"7,944.43","8,197.80","7,886.01","8,163.42",6529910000.00,134926000000.00
17-04-18,"8,071.66","8,285.96","7,881.72","7,902.09",6900880000.00,137070000000.00
16-04-18,"8,337.57","8,371.15","7,925.73","8,058.67",5631310000.00,141571000000.00
15-04-18,"7,999.33","8,338.42","7,999.33","8,329.11",5244480000.00,135812000000.00
14-04-18,"7,874.67","8,140.71","7,846.00","7,986.24",5191430000.00,133682000000.00
13-04-18,"7,901.09","8,183.96","7,758.93","7,895.96",7764460000.00,134114000000.00
12-04-18,"6,955.38","7,899.23","6,806.51","7,889.25",8906250000.00,118048000000.00
11-04-18,"6,843.47","6,968.32","6,817.59","6,968.32",4641890000.00,116126000000.00
10-04-18,"6,795.44","6,872.41","6,704.15","6,834.76",4272750000.00,115306000000.00
09-04-18,"7,044.32","7,178.11","6,661.99","6,770.73",4894060000.00,119516000000.00
08-04-18,"6,919.98","7,111.56","6,919.98","7,023.52",3652500000.00,117392000000.00
07-04-18,"6,630.51","7,050.54","6,630.51","6,911.09",3976610000.00,112467000000.00
06-04-18,"6,815.96","6,857.49","6,575.00","6,636.32",3766810000.00,115601000000.00
05-04-18,"6,848.65","6,933.82","6,644.80","6,811.47",5639320000.00,116142000000.00
04-04-18,"7,456.41","7,469.88","6,803.88","6,853.84",4936000000.00,126434000000.00
03-04-18,"7,102.26","7,530.94","7,072.49","7,456.11",5499700000.00,120415000000.00
02-04-18,"6,844.86","7,135.47","6,816.58","7,083.80",4333440000.00,116037000000.00
01-04-18,"7,003.06","7,060.95","6,526.87","6,844.23",4532100000.00,118705000000.00
31-03-18,"6,892.48","7,207.85","6,863.52","6,973.53",4553270000.00,116820000000.00
30-03-18,"7,171.45","7,276.66","6,683.93","6,890.52",6289510000.00,121534000000.00
29-03-18,"7,979.07","7,994.33","7,081.38","7,165.70",6361230000.00,135205000000.00
28-03-18,"7,836.83","8,122.89","7,809.17","7,954.48",4935290000.00,132781000000.00
27-03-18,"8,200.00","8,232.78","7,797.28","7,833.04",5378250000.00,138919000000.00
26-03-18,"8,498.47","8,530.08","7,921.43","8,209.40",5921040000.00,143960000000.00
25-03-18,"8,612.81","8,682.01","8,449.10","8,495.78",4569880000.00,145882000000.00
24-03-18,"8,901.95","8,996.18","8,665.70","8,668.12",5664600000.00,150762000000.00
23-03-18,"8,736.25","8,879.62","8,360.62","8,879.62",5954120000.00,147941000000.00
22-03-18,"8,939.44","9,100.71","8,564.90","8,728.47",5530390000.00,151366000000.00
21-03-18,"8,937.48","9,177.37","8,846.33","8,929.28",6043130000.00,151316000000.00
20-03-18,"8,619.67","9,051.02","8,389.89","8,913.47",6361790000.00,145922000000.00
19-03-18,"8,344.12","8,675.87","8,182.40","8,630.65",6729110000.00,141240000000.00
18-03-18,"7,890.52","8,245.51","7,397.99","8,223.68",6639190000.00,133547000000.00
17-03-18,"8,321.91","8,346.53","7,812.82","7,916.88",4426150000.00,140834000000.00
16-03-18,"8,322.91","8,585.15","8,005.31","8,338.35",5289380000.00,140834000000.00
15-03-18,"8,290.76","8,428.35","7,783.05","8,300.86",6834430000.00,140275000000.00
14-03-18,"9,214.65","9,355.85","8,068.59","8,269.81",6438230000.00,155891000000.00
13-03-18,"9,173.04","9,470.38","8,958.19","9,194.85",5991140000.00,155168000000.00
12-03-18,"9,602.93","9,937.50","8,956.43","9,205.12",6457400000.00,162421000000.00
11-03-18,"8,852.78","9,711.89","8,607.12","9,578.63",6296370000.00,149716000000.00
10-03-18,"9,350.59","9,531.32","8,828.47","8,866.00",5386320000.00,158119000000.00
09-03-18,"9,414.69","9,466.35","8,513.03","9,337.55",8704190000.00,159185000000.00
08-03-18,"9,951.44","10,147.40","9,335.87","9,395.01",7186090000.00,168241000000.00
07-03-18,"10,803.90","10,929.50","9,692.12","9,965.57",8797910000.00,182631000000.00
06-03-18,"11,500.10","11,500.10","10,694.30","10,779.90",6832170000.00,194378000000.00
05-03-18,"11,532.40","11,704.10","11,443.90","11,573.30",6468540000.00,194903000000.00
04-03-18,"11,497.40","11,512.60","11,136.10","11,512.60",6084150000.00,194289000000.00
03-03-18,"11,101.90","11,528.20","11,002.40","11,489.70",6690570000.00,187581000000.00
02-03-18,"10,977.40","11,189.00","10,850.10","11,086.40",7620590000.00,185456000000.00
01-03-18,"10,385.00","11,052.30","10,352.70","10,951.00",7317280000.00,175427000000.00
28-02-18,"10,687.20","11,089.80","10,393.10","10,397.90",6936190000.00,180510000000.00
27-02-18,"10,393.90","10,878.50","10,246.10","10,725.60",6966180000.00,175536000000.00
26-02-18,"9,669.43","10,475.00","9,501.73","10,366.70",7287690000.00,163283000000.00
25-02-18,"9,796.42","9,923.22","9,407.06","9,664.73",5706940000.00,165407000000.00
24-02-18,"10,287.70","10,597.20","9,546.97","9,813.07",6917930000.00,173682000000.00
23-02-18,"9,937.07","10,487.30","9,734.56","10,301.10",7739500000.00,167746000000.00
22-02-18,"10,660.40","11,039.10","9,939.09","10,005.00",8040080000.00,179936000000.00
21-02-18,"11,372.20","11,418.50","10,479.10","10,690.40",9405340000.00,191927000000.00
20-02-18,"11,231.80","11,958.50","11,231.80","11,403.70",9926540000.00,189536000000.00
19-02-18,"10,552.60","11,273.80","10,513.20","11,225.30",7652090000.00,178055000000.00
18-02-18,"11,123.40","11,349.80","10,326.00","10,551.80",8744010000.00,187663000000.00
17-02-18,"10,207.50","11,139.50","10,149.40","11,112.70",8660880000.00,172191000000.00
16-02-18,"10,135.70","10,324.10","9,824.82","10,233.90",7296160000.00,170960000000.00
15-02-18,"9,488.32","10,234.80","9,395.58","10,166.40",9062540000.00,160025000000.00
14-02-18,"8,599.92","9,518.54","8,599.92","9,494.63",7909820000.00,145023000000.00
13-02-18,"8,926.72","8,958.47","8,455.41","8,598.31",5696720000.00,150516000000.00
12-02-18,"8,141.43","8,985.92","8,141.43","8,926.57",6256440000.00,137258000000.00
11-02-18,"8,616.13","8,616.13","7,931.10","8,129.97",6122190000.00,145245000000.00
10-02-18,"8,720.08","9,122.55","8,295.47","8,621.90",7780960000.00,146981000000.00
09-02-18,"8,271.84","8,736.98","7,884.71","8,736.98",6784820000.00,139412000000.00
08-02-18,"7,637.86","8,558.77","7,637.86","8,265.59",9346750000.00,128714000000.00
07-02-18,"7,755.49","8,509.11","7,236.79","7,621.30",9169280000.00,130683000000.00
06-02-18,"7,051.75","7,850.70","6,048.26","7,754.00",13999800000.00,118810000000.00
05-02-18,"8,270.54","8,364.84","6,756.68","6,955.27",9285290000.00,139325000000.00
04-02-18,"9,175.70","9,334.87","8,031.22","8,277.01",7073550000.00,154553000000.00
03-02-18,"8,852.12","9,430.75","8,251.63","9,174.91",7263790000.00,149085000000.00
02-02-18,"9,142.28","9,142.28","7,796.49","8,830.75",12726900000.00,153953000000.00
01-02-18,"10,237.30","10,288.80","8,812.28","9,170.54",9959400000.00,172372000000.00
31-01-18,"10,108.20","10,381.60","9,777.42","10,221.10",8041160000.00,170183000000.00
30-01-18,"11,306.80","11,307.20","10,036.20","10,106.30",8637860000.00,190339000000.00
29-01-18,"11,755.50","11,875.60","11,179.20","11,296.40",7107360000.00,197871000000.00
28-01-18,"11,475.30","12,040.30","11,475.30","11,786.30",8350360000.00,193133000000.00
27-01-18,"11,174.90","11,614.90","10,989.20","11,440.70",7583270000.00,188054000000.00
26-01-18,"11,256.00","11,656.70","10,470.30","11,171.40",9746200000.00,189398000000.00
25-01-18,"11,421.70","11,785.70","11,057.40","11,259.40",8873170000.00,192163000000.00
24-01-18,"10,903.40","11,501.40","10,639.80","11,359.40",9940990000.00,183419000000.00
23-01-18,"10,944.50","11,377.60","10,129.70","10,868.40",9660610000.00,184087000000.00
22-01-18,"11,633.10","11,966.40","10,240.20","10,931.40",10537400000.00,195645000000.00
21-01-18,"12,889.20","12,895.90","11,288.20","11,600.10",9935180000.00,216740000000.00
20-01-18,"11,656.20","13,103.00","11,656.20","12,899.20",11801700000.00,195979000000.00
19-01-18,"11,429.80","11,992.80","11,172.10","11,607.40",10740400000.00,192150000000.00
18-01-18,"11,198.80","12,107.30","10,942.50","11,474.90",15020400000.00,188242000000.00
17-01-18,"11,431.10","11,678.00","9,402.29","11,188.60",18830600000.00,192123000000.00
16-01-18,"13,836.10","13,843.10","10,194.90","11,490.50",18853800000.00,232517000000.00
15-01-18,"13,767.30","14,445.50","13,641.70","13,819.80",12750800000.00,231334000000.00
14-01-18,"14,370.80","14,511.80","13,268.00","13,772.00",11084100000.00,241447000000.00
13-01-18,"13,952.40","14,659.50","13,952.40","14,360.20",12763600000.00,234391000000.00
12-01-18,"13,453.90","14,229.90","13,158.10","13,980.60",12065700000.00,225986000000.00
11-01-18,"14,968.20","15,018.80","13,105.90","13,405.80",16534100000.00,251387000000.00
10-01-18,"14,588.50","14,973.30","13,691.20","14,973.30",18500800000.00,244981000000.00
09-01-18,"15,123.70","15,497.50","14,424.00","14,595.40",16660000000.00,253935000000.00
08-01-18,"16,476.20","16,537.90","14,208.20","15,170.10",18413900000.00,276612000000.00
07-01-18,"17,527.30","17,579.60","16,087.70","16,477.60",15866000000.00,294222000000.00
